neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms,minimum_nights,maximum_nights,total_reviews_historicas,total_clicks_acumulados,price
valdeacederas,2,-1.295454281148449,-0.48125855188022465,-1.3571437913508724,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,2.5649493574615367,0,4.174387269895637
castillejos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,-0.1819724833996005,1.5659401123694134,2.995732273553991,0,4.110873864173311
bellas vistas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.6931471805599453,0,4.653960350157523
bellas vistas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.23638066505357652,1.5659401123694134,0.0,0,4.31748811353631
cuatro caminos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,3.224617439719127,-0.7992396598774077,0.0,0,3.2188758248682006
pinar del rey,2,-1.295454281148449,-0.48125855188022465,-1.3571437913508724,-0.4462663485364962,0.23638066505357652,-0.3362150483793528,0.0,0,3.912023005428146
san pablo d y e,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,3.7376696182833684,0,3.258096538021482
universidad,0,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.3362150483793528,3.4339872044851463,0,4.2626798770413155
ambroz,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,2.70805020110221,0,3.258096538021482
san diego,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,1.5512048459064187,-0.3362150483793528,1.791759469228055,0,3.4657359027997265
cuatro caminos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,1.4316753749197966,-1.1746650205515063,0.0,0,2.772588722239781
palacio,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.0624430124129785,1.5659401123694134,3.332204510175204,0,3.5553480614894135
centro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,1.4316753749197966,-0.41130012051417253,0.6931471805599453,0,3.1354942159291497
cruz de humilladero,2,-1.295454281148449,-1.4973974472280942,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.6931471805599453,0,4.6443908991413725
quintana,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.2447444212106713,3.258096538021482,0,4.0943445622221
san cristobal,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,1.5659401123694134,5.062595033026967,0,2.8903717578961645
valdefuentes,2,-1.295454281148449,-0.48125855188022465,-0.12799851367586254,-0.4462663485364962,1.3121459039331747,-0.3362150483793528,1.6094379124341003,0,3.4011973816621555
